SlurURN,ReadingURN,ImageURN
urn:cite:hmt:venAslur.23_X,urn:cts:greekLit:tlg0012.tlg001.msA:23.X@WORD,"Image"
urn:cite:hmt:venAslur.23_1,urn:cts:greekLit:tlg0012.tlg001.msA:23.κολυλήῥυτον,"urn:cite:hmt:vaimg.VA293RN-0463@0.372,0.6479,0.123,0.0278"
